status,noise_label,noise_type,source_kind,source_render_mode,source_path,source_sample_rate,source_channels,duration_s,sample_rate,channels,tactile_events,tactile_channel,peak_dbfs,clipping,hrir_positions_used,first_half_left_rms,first_half_right_rms,second_half_left_rms,second_half_right_rms,wav_sha256,message
rendered_reference,Pink frontal,pink,procedural_noise,,,,,4.000000,44100,2,0,,-0.915,false,1,0.025097503,0.026436157,0.130403472,0.137711374,2ff7c2286a5c04dfebab6e1ea33738849776bf3060e6acc2ee0ee66016e1e772,Rendered with the Python SOFA/FABIAN reference engine from the same 3DTI-compatible config; HRIR positions used: 1. Tactile channel generation was deferred for this auditory-only bake.
rendered_reference,Blue frontal,blue,procedural_noise,,,,,4.000000,44100,2,0,,-0.915,false,1,0.025500167,0.021650164,0.135896865,0.114932124,e0a330251805dcb37b092b4719707ba06f66a5b9bf45f98ef397fdfbcdfc8b65,Rendered with the Python SOFA/FABIAN reference engine from the same 3DTI-compatible config; HRIR positions used: 1. Tactile channel generation was deferred for this auditory-only bake.
rendered_reference,White frontal,white,procedural_noise,,,,,4.000000,44100,2,0,,-0.915,false,1,0.025513842,0.024865665,0.134379628,0.130644416,9efe872d368f1f1e1ac126ed315c6534cbbd9c29f5803310e9dbde347d05393a,Rendered with the Python SOFA/FABIAN reference engine from the same 3DTI-compatible config; HRIR positions used: 1. Tactile channel generation was deferred for this auditory-only bake.
rendered_reference,Brown frontal,brown,procedural_noise,,,,,4.000000,44100,2,0,,-0.915,false,1,0.029455985,0.029596622,0.290000443,0.291353733,9d7c04b7fbb2ac1b36ac86ed3947fb59ffccf7e81268c645726b467ade6e9a87,Rendered with the Python SOFA/FABIAN reference engine from the same 3DTI-compatible config; HRIR positions used: 1. Tactile channel generation was deferred for this auditory-only bake.
